Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
4284000,1.2579929,0.29264787,444.3076923076923,0.14650165,0.018767936,0.0002974329,0.19914432,0.0009915287,1.1798551750594173,1.1798551750594173,1.0
4296000,1.2569149,0.35940492,440.4848484848485,0.1481974,0.018039798,0.00029742622,0.1991421,0.0009915066,1.228733349252831,1.228733349252831,1.0
4308000,1.2563004,0.35617408,416.030303030303,0.13821222,0.014229019,0.00029741906,0.19913967,0.0009914829,0.9577343717683107,0.9577343717683107,1.0
4320000,1.2544314,0.25804076,439.22222222222223,0.12734842,0.01780431,0.0002974119,0.19913729,0.0009914591,1.0159823763019897,1.0159823763019897,1.0
4332000,1.2538536,0.2215079,450.04545454545456,0.1248378,0.011496717,0.00029740453,0.19913484,0.0009914349,1.315156011581421,1.315156011581421,1.0
4344000,1.2536259,0.30313307,440.2,0.14056005,0.019946514,0.0002973972,0.1991324,0.0009914107,1.2885066784918309,1.2885066784918309,1.0
4356000,1.2530017,0.31874287,441.65714285714284,0.1980425,0.019002914,0.0002973901,0.19913003,0.0009913873,0.9040552732583723,0.9040552732583723,1.0
4368000,1.2532064,0.2765728,422.1333333333333,0.101931415,0.019518668,0.00029738282,0.19912761,0.0009913634,1.067822223322259,1.067822223322259,1.0
4380000,1.2536716,0.2642435,440.0,0.10954578,0.016213926,0.0002973754,0.19912513,0.0009913387,1.2279954755848104,1.2279954755848104,1.0
4392000,1.2541121,0.24773075,445.6,0.15557435,0.012102366,0.00029736818,0.19912274,0.0009913151,0.9867818292343256,0.9867818292343256,1.0
4404000,1.2541995,0.38868466,438.5263157894737,0.1562465,0.0133026615,0.00029736123,0.1991204,0.0009912921,1.2687771537474224,1.2687771537474224,1.0
