Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2388000,1.311886,0.36397642,0.064279065,0.015370409,0.00029857055,0.19952352,0.0009952828,1058.3125,4.352058845261733,4.352058845261733,1.0
2400000,1.3125349,0.37547737,0.11205346,0.019585652,0.00029856365,0.19952123,0.0009952601,1050.2631578947369,3.0779503001408144,3.0779503001408144,1.0
2412000,1.3127158,0.54249954,0.08056239,0.017271932,0.00029855644,0.19951881,0.0009952362,1054.764705882353,4.469830383360386,4.469830383360386,1.0
2424000,1.3132919,0.51678383,0.036490582,0.015181488,0.00029854896,0.19951631,0.0009952117,1051.0,3.770275393500924,3.770275393500924,1.0
2436000,1.3139211,0.3512428,0.046196014,0.010781984,0.00029854185,0.19951396,0.0009951881,1042.4444444444443,4.583662888966501,4.583662888966501,1.0
2448000,1.3134991,0.41313118,0.0734149,0.017724061,0.0002985346,0.19951156,0.0009951642,1006.1,3.9296180018607307,3.9296180018607307,1.0
2460000,1.3128523,0.44211826,0.051249493,0.021370195,0.00029852736,0.19950913,0.0009951402,1029.25,4.261109547858888,4.261109547858888,1.0
2472000,1.3126116,0.38455975,0.045869276,0.017062316,0.0002985204,0.1995068,0.0009951174,940.4,3.48848374436299,3.48848374436299,1.0
2484000,1.3125776,0.33847976,0.04728697,0.019684134,0.00029851342,0.19950445,0.0009950943,1021.1111111111111,4.273287825286388,4.273287825286388,1.0
2496000,1.3130691,0.40919188,0.060675167,0.017122412,0.00029850603,0.199502,0.00099507,1024.2,3.5545190726406872,3.5545190726406872,1.0
2508000,1.312805,0.5130219,0.08442875,0.015718764,0.00029849893,0.19949965,0.0009950465,1016.4761904761905,4.098665418103337,4.098665418103337,1.0
2520000,1.311666,0.4810656,0.06852061,0.01717676,0.00029849185,0.19949727,0.000995023,1008.2222222222222,3.999020321170489,3.999020321170489,1.0
2532000,1.3106785,0.38050514,0.025600344,0.016682006,0.00029848432,0.19949476,0.0009949981,1030.0,5.399900563061237,5.399900563061237,1.0
2544000,1.309917,0.32662547,0.055509467,0.014056552,0.0002984774,0.19949247,0.0009949756,1013.1428571428571,3.8605619760660024,3.8605619760660024,1.0
2556000,1.3094242,0.3988966,0.07739172,0.012664364,0.0002984701,0.19949004,0.0009949515,1001.625,4.0566191715188324,4.0566191715188324,1.0
2568000,1.3091594,0.36332992,0.062981434,0.013583232,0.00029846275,0.19948758,0.0009949271,977.4,2.538554834371263,2.538554834371263,1.0
2580000,1.3090585,0.31332052,0.047209125,0.020388104,0.00029845585,0.19948529,0.0009949044,822.6,2.914166983217001,2.914166983217001,1.0
2592000,1.3092177,0.37066305,0.048759256,0.016733967,0.00029844843,0.19948281,0.0009948798,1014.0,3.8157670479267836,3.8157670479267836,1.0
2604000,1.3096966,0.36988112,0.07523707,0.017051777,0.00029844124,0.19948041,0.000994856,1021.6842105263158,3.7315392792224884,3.7315392792224884,1.0
2616000,1.3108329,0.42374936,0.08189505,0.020903792,0.00029843417,0.19947807,0.000994833,998.15,3.6624384820461273,3.6624384820461273,1.0
2628000,1.3124635,0.41653934,0.03192908,0.023694685,0.00029842686,0.1994756,0.0009948086,1009.75,5.399725671857595,5.399725671857595,1.0
2640000,1.3121837,0.33592907,0.04656626,0.01612728,0.00029841976,0.19947326,0.0009947853,1021.0,3.8981004740510667,3.8981004740510667,1.0
2652000,1.3108497,0.3650351,0.071399085,0.01841551,0.0002984125,0.19947083,0.0009947611,1018.0,3.7670898684545566,3.7670898684545566,1.0
2664000,1.3101465,0.3876136,0.051295474,0.023932552,0.00029840527,0.19946842,0.0009947373,950.5833333333334,3.224127623167905,3.224127623167905,1.0
2676000,1.3089384,0.3649173,0.043705355,0.013033396,0.00029839788,0.19946596,0.000994713,1028.3333333333333,4.326400535447257,4.326400535447257,1.0
2688000,1.3084424,0.3256,0.051591363,0.016986052,0.00029839037,0.19946344,0.0009946881,1034.111111111111,4.341522647274865,4.341522647274865,1.0
2700000,1.3083241,0.3687509,0.05341743,0.018149981,0.00029838347,0.19946116,0.0009946654,1039.4615384615386,4.169036762280897,4.169036762280897,1.0
2712000,1.3081514,0.4594453,0.06715932,0.016192345,0.00029837617,0.19945873,0.0009946413,1047.0,4.072482762967839,4.072482762967839,1.0
2724000,1.3076365,0.57068,0.07412606,0.01499391,0.00029836906,0.19945633,0.0009946177,1037.4444444444443,4.091233770880434,4.091233770880434,1.0
2736000,1.3073295,0.39251742,0.028237075,0.016363041,0.00029836208,0.19945402,0.0009945949,1028.5,3.8938006535172462,3.8938006535172462,1.0
2748000,1.3066301,0.33240598,0.059031285,0.016980553,0.00029835454,0.19945149,0.0009945701,1031.0,4.205100429172699,4.205100429172699,1.0
2760000,1.3065127,0.46535733,0.064326,0.01688175,0.00029834732,0.1994491,0.0009945462,1035.6666666666667,4.459469153545797,4.459469153545797,1.0
2772000,1.3071864,0.4807317,0.04731852,0.022206465,0.00029834054,0.19944684,0.0009945236,1051.1818181818182,4.284289325277011,4.284289325277011,1.0
2784000,1.3073655,0.39530784,0.044655114,0.019617246,0.0002983335,0.19944452,0.0009945006,1053.8,3.89496698603034,3.89496698603034,1.0
2796000,1.3067234,0.4118752,0.047114216,0.020486074,0.00029832593,0.19944198,0.0009944756,1054.4444444444443,3.8950103625655172,3.8950103625655172,1.0
2808000,1.3060266,0.36235103,0.05257767,0.018009009,0.00029831837,0.19943947,0.0009944505,1061.4285714285713,4.194320425391197,4.194320425391197,1.0
2820000,1.3062346,0.5175828,0.078542426,0.019548139,0.00029831156,0.19943719,0.0009944281,1055.8333333333333,3.9947004158049824,3.9947004158049824,1.0
2832000,1.3069493,0.5334817,0.066199176,0.013049097,0.0002983048,0.19943494,0.0009944061,1060.9285714285713,4.327913727859656,4.327913727859656,1.0
2844000,1.3071003,0.39297476,0.037387073,0.018458197,0.0002982972,0.19943237,0.0009943808,1025.5,4.397925620898604,4.397925620898604,1.0
2856000,1.3064022,0.35250708,0.06226814,0.019700563,0.00029828955,0.19942985,0.0009943555,1069.2142857142858,4.852008890981476,4.852008890981476,1.0
2868000,1.3066044,0.48390004,0.0634644,0.021439767,0.00029828263,0.19942753,0.0009943326,1067.0833333333333,3.816646445829135,3.816646445829135,1.0
