Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
580000,1.1919569,0.0029999656,-1.57999994372949,915.125,-0.08550916,-1.5799997930880636
590000,1.1906766,0.002999965,-1.3941666243287425,794.0,-0.11115689,-1.3941665400440495
600000,1.1886886,0.0029999646,-1.3274999493733048,967.125,-0.11043815,-1.327499802224338
610000,1.1860904,0.0029999637,-0.7599999517202377,964.7,-0.12561582,-0.7599998096004128
620000,1.1844558,0.0029999632,-0.9279999524354935,988.3333333333334,-0.067749344,-0.927999822422862
630000,1.1828277,0.0029999623,-1.2812499573919922,877.875,-0.1241053,-1.2812498868443072
640000,1.1763337,0.002999962,-1.1333332831660907,922.7777777777778,-0.1143194,-1.1333331428468227
650000,1.1737757,0.0029999614,-1.3199999523349106,966.125,-0.10857044,-1.3199998068157583
660000,1.1677529,0.0029999611,-1.0249999482184649,1107.75,-0.16213062,-1.024999812245369
670000,1.167004,0.0029999597,-1.171999953687191,910.9,-0.086024694,-1.1719998080283403
680000,1.1630114,0.0029999593,-0.4836363172666593,1054.6363636363637,-0.10767234,-0.4836361956867305
690000,1.1605892,0.002999959,-1.184285671849336,894.8571428571429,-0.06786258,-1.1842855741935117
700000,1.1583958,0.0029999583,-0.7287499529775232,1050.5,-0.10877139,-0.7287498000077903
710000,1.1577497,0.0029999577,-1.050666623810927,896.5333333333333,-0.0785849,-1.0506665238489707
720000,1.1523633,0.0029999574,-0.7819999445229768,1214.6,-0.07809967,-0.7819998022168875
730000,1.1555281,0.0029999565,-0.8571428044566086,1086.5714285714287,-0.118689515,-0.8571426288357803
740000,1.1566881,0.002999956,-1.3806249412009493,1103.3125,-0.07920316,-1.3806247755419463
750000,1.1539624,0.0029999558,-1.2470587772481583,885.5294117647059,-0.10573527,-1.2470586607780527
760000,1.1543723,0.0029999549,-0.712499953340739,991.5,-0.08984805,-0.7124998499639332
770000,1.1527363,0.0029999542,-1.1266666228572528,894.2222222222222,-0.08030994,-1.1266665423495903
780000,1.1492608,0.002999954,-0.891666621590654,833.8333333333334,-0.085003704,-0.8916665028470258
790000,1.1401824,0.0029999532,-0.7226666229466597,909.4666666666667,-0.0926995,-0.7226665367682775
800000,1.1397929,0.0029999525,-1.2085713800042868,967.3571428571429,-0.123869166,-1.2085712564044766
810000,1.1436708,0.0029999523,-1.2516666219259303,838.6666666666666,-0.0626443,-1.2516665365546942
820000,1.1427089,0.002999951,-0.9187499487306923,943.0,-0.049011376,-0.9187498551327735
830000,1.1404781,0.0029999502,-0.942499962169677,835.5,-0.0850832,-0.9424998459871858
840000,1.1406682,0.0029999502,-0.794999957483794,851.0714285714286,-0.06413201,-0.7949998507808361
850000,1.142692,0.00299995,-1.385999947413802,978.0,-0.108952895,-1.3859998110681773
860000,1.143274,0.0029999493,-1.1242856620145696,975.5714285714286,-0.10629352,-1.1242854943765062
870000,1.138882,0.0029999483,-1.1185713604624783,1122.2857142857142,-0.075326174,-1.118571196283613
880000,1.1337786,0.0029999479,-1.1645454021001405,1039.909090909091,-0.09829156,-1.1645452900027686
890000,1.1313567,0.0029999467,-1.1946153381409554,898.2307692307693,-0.10069715,-1.1946152018812985
900000,1.1275549,0.002999946,-1.2806666201601427,952.0666666666667,-0.13810924,-1.2806664957354466
910000,1.1246154,0.0029999462,-0.8946153457061603,830.6153846153846,-0.14193411,-0.8946152595946422
920000,1.1226368,0.0029999444,-0.6866666289667288,699.0,-0.10557751,-0.6866664811968803
930000,1.1162988,0.0029999446,-0.7076922660836806,826.0,-0.08365364,-0.7076921451550263
